lengths,depth,concrete_strength,steel_strength,width,reinforcement_ratio,area,volume,mass,weight,load,max_moment_due_to_selfweight,shear_load_due_to_selfweight,area_concrete,area_steel,x/d,ultimate_bending_moment_concrete,ultimate_bending_moment_steel,Warehouse,IDs
3.6,0.4,16729998.1,327227183.3,0.4,1.4,0.2,0.6,1363.4,13374.7,33055.8,15075.2,16527.9,0.1,0.0021,0.6,111324.5,41454253.4,Warehouse_8,ID_26
5.6,0.5,16730000.6,374398743.5,0.3,1.5,0.1,0.7,1658.6,16270.9,36965.7,25675.3,18482.9,0.1,0.0018,0.7,117808.8,36832052.0,Warehouse_7,ID_41
3.7,0.4,16729999.2,336599336.7,0.5,2.8,0.2,0.7,1723.0,16902.7,37818.7,17432.2,18909.3,0.2,0.0052,1.3,126400.4,52668770.4,Warehouse_2,ID_58
5.2,0.5,16730000.0,409589534.2,0.5,3.7,0.2,1.2,3184.2,31236.9,57169.8,36900.2,28584.9,0.2,0.0088,2.0,239093.2,2733790.1,Warehouse_6,ID_62
4.5,0.4,16730000.3,378557492.2,0.4,0.6,0.2,0.8,1908.2,18719.8,40271.7,22545.2,20135.8,0.2,0.001,0.3,134858.6,29105765.2,Warehouse_3,ID_66
3.7,0.4,16730000.8,416026736.3,0.5,3.2,0.2,0.7,1680.1,16481.6,37250.2,17195.2,18625.1,0.2,0.0057,1.8,129736.2,17739600.3,Warehouse_3,ID_95
4.0,0.4,16730000.8,318550047.9,0.3,1.5,0.1,0.5,1159.9,11378.7,30361.2,15071.3,15180.6,0.1,0.0018,0.7,75180.4,32818769.3,Warehouse_3,ID_97
4.4,0.5,16730001.0,345745167.4,0.3,2.1,0.1,0.7,1640.4,16092.4,36724.7,20332.3,18362.4,0.1,0.0031,0.9,137518.6,48691762.1,Warehouse_2,ID_101
3.5,0.3,16730000.1,272986938.0,0.3,0.7,0.1,0.4,866.6,8501.8,26477.4,11520.9,13238.7,0.1,0.0007,0.3,62329.4,15056842.4,Warehouse_1,ID_104
4.3,0.5,16729999.4,284952954.5,0.3,1.3,0.1,0.6,1497.2,14687.3,34827.8,18757.1,17413.9,0.1,0.0018,0.5,128766.6,34200036.6,Warehouse_1,ID_113
